FishID,Species,Date,Season,TL,FL,Mass,Sex,GS,GW,Fat,GSI,ln(TL),ln(Mass),Predicted mass,Le Cren
MR729,P. blochii,13 June 2024,2,268,237,326.3507272,F,4,11.86477801,1,0.03772753,5.590986981,5.787972653,378.3927582,0.862465573
MR730,P. blochii,13 June 2024,2,211,190,177.7868551,F,4,11.25204701,1,0.067565737,5.351858133,5.180585389,189.8867428,0.936278396
MR731,P. blochii,05 January 2024,1,220,203,206.89861,F,2,3.154273499,1,0.015481527,5.393627546,5.332228866,214.1905126,0.965955996
MR732,P. blochii,05 January 2024,1,226,213,210.9098646,F,2,25.16846098,0,0.135502696,5.420534999,5.35143086,231.470145,0.911175238
MR733,P. blochii,05 January 2024,1,228,207,210.0068497,F,4,2.606765855,1,0.012568779,5.429345629,5.347140148,237.4258823,0.884515402
MR734,P. blochii,05 January 2024,1,251,225,290.5309772,M,7,0.97057794,1,0.003351902,5.525452939,5.671710205,313.2406143,0.927500982
MR735,P. blochii,05 January 2024,1,266,210,334.5195688,M,1,1.360700679,2,0.00408424,5.583496309,5.81269538,370.3076223,0.903355882
MR736,P. blochii,20 July 2024,3,241,217,249.6219211,M,5,11.45026137,0,0.048075667,5.484796933,5.519947457,278.5907815,0.896016443
MR737,P. blochii,20 July 2024,3,247,219,254.9461625,M,4,5.439451021,1,0.02180082,5.509388337,5.541052395,299.0619983,0.852485986
MR738,P. blochii,20 July 2024,3,236,213,213.3930566,M,4,3.419257725,0,0.016284211,5.463831805,5.363135801,262.2486377,0.81370511
MR739,P. blochii,22 July 2024,3,252,231,303.4524389,F,4,8.342792367,1,0.028270145,5.529429088,5.715224889,316.852533,0.957708736
MR740,P. blochii,13 June 2024,2,233,207,240.878932,F,3,2.618113987,0,0.010988437,5.451038454,5.484294451,252.7509613,0.953028747
MR741,P. blochii,13 June 2024,2,191,174,137.235994,F,3,3.357355442,0,0.025077604,5.252273428,4.921702028,142.4918693,0.96311456
MR742,P. blochii,13 June 2024,2,205,182,151.5571655,F,4,3.103624747,0,0.020906371,5.323009979,5.020962884,174.7308765,0.867374837
MR743,P. blochii,20 July 2024,3,181,167,127.6228218,F,5,8.250868347,1,0.069118986,5.198497031,4.849079209,122.0249953,1.045874425
MR744,P. blochii,20 June 2024,2,212,,175.014353,F,3,3.188798387,0,0.018558348,5.356586275,5.164867988,192.4932218,0.909197484
MR745,P. blochii,20 June 2024,2,203,180,152.0822779,F,3,5.50515714,0,0.037558093,5.313205979,5.024421676,169.8605924,0.89533585
