FishID,Species,Date,Season,TL,FL,Mass,Sex,GS,GW,Fat,GSI,ln(TL),ln(Mass),Predicted mass,Le Cren
MR175,P. blochii,29-05-13,2,248,238,401.5,F,5,23.4,1,0.061888389,5.513428746,5.995207533,302.5664836,1.326981083
MR176,P. blochii,29-05-13,2,225,205,255,F,4,10.9,1,0.04465383,5.416100402,5.541263545,228.5292408,1.115830951
MR177,P. blochii,29-05-13,2,285,250,502.4,F,5,31.1,2,0.065987694,5.65248918,6.219396615,451.8129839,1.111964503
MR179,P. blochii,29-05-13,2,220,200,234,F,5,12.6,1,0.056910569,5.393627546,5.455321115,214.1905126,1.092485363
MR182,P. blochii,13-09-13,3,225,215,239,F,4,18.2,1,0.082427536,5.416100402,5.476463552,228.5292408,1.045818028
MR183,P. blochii,26-08-13,3,219,200,196,F,5,7.5,0,0.039787798,5.38907173,5.278114659,211.395251,0.927173146
MR184,P. blochii,26-08-13,3,282,258,394,F,6,18.4,1,0.048988285,5.641907071,5.976350909,438.2352442,0.899060505
MR185,P. blochii,26-08-13,3,235,210,287,F,6,11.1,0,0.040231968,5.459585514,5.659482216,259.0573028,1.107862997
MR186,P. blochii,26-08-13,3,245,223,270.9,F,5,17.5,0,0.069060773,5.501258211,5.601749749,292.1327937,0.927318007
MR188,P. blochii,13-09-13,3,251,232,312,F,4,12.1,0,0.040346782,5.525452939,5.743003188,313.2406143,0.996039421
MR189,P. blochii,26-08-13,3,256,229,333.8,F,5,11.8,0,0.036645963,5.545177444,5.810542011,331.5721171,1.00671915
MR191,P. blochii,26-08-13,3,253,232,311,F,4,18.1,0,0.061795835,5.533389489,5.739792912,320.4915477,0.970384405
MR192,P. blochii,26-08-13,3,265,240,367,F,3,5,0,0.013812155,5.579729826,5.905361848,366.3077339,1.001889849
MR193,P. blochii,26-08-13,3,262,234,334,F,6,24.9,0,0.080556454,5.568344504,5.811140993,354.4776537,0.942231468
MR195,P. blochii,26-08-13,3,220,201,211,F,5,8.1,0,0.039921143,5.393627546,5.351858133,214.1905126,0.985104323
MR198,P. blochii,26-08-13,3,239,214,246.7,F,3,9.3,0,0.039174389,5.476463552,5.508173024,271.9764476,0.907063837
MR200,P. blochii,26-08-13,3,250,228,313,F,3,8.9,1,0.029266689,5.521460918,5.746203191,309.6556965,1.010800071
MR201,P. blochii,13-09-13,3,237,203,279.5,F,5,16,0,0.060721063,5.468060141,5.633002293,265.465543,1.05286734
MR202,P. blochii,13-09-13,3,272,229,393.4,F,5,25.4,0,0.069021739,5.605802066,5.974826906,394.9071072,0.996183641
MR206,P. blochii,26-08-13,3,275,243,415.8,F,6,23.1,1,0.058823529,5.616771098,6.030204375,407.5969043,1.02012551
